이름,위치,별점,간단한설명,링크

레이지펌프, 제주 제주시 애월읍 애월북서길 32 lazypump,카페,https://naver.me/xdIk3sXl
언더라운지 제주함덕점, 제주 제주시 조천읍 함덕로 40 5층 6층, 4.87/5,카페,https://naver.me/GVAL0dHV
디뷰, 제주 제주시 노형7길 9-16 1층, 4.9/5, 카페,https://naver.me/IIqCBm00
글러트니 커피, 제주 제주시 구남로2길 38 1층 글러트니 커피,카페,https://naver.me/56YRqHZD
카페바르941, 제주 서귀포시 성산읍 환해장성로 941 카페바르941, 4.8/5,카페,https://naver.me/GyeNjv3p
애월 메누하 카페, 제주 제주시 애월읍 애월북서길 93 MENUHA,카페,https://naver.me/5i97qEGu
제주길, 제주 서귀포시 서문서로 16-1,카페,https://naver.me/xyuTqqkU
네코야 티하우스, 제주 제주시 애월읍 하귀9길 15 1층,카페,https://naver.me/5vIYMRVk
나모나모,제주 제주시 도두봉6길 4 연중무휴 도두봉 무지개 해안도로 앞 대형 베이커리카페,4.44/5,카페,https://naver.me/xZDOJNAu
유동커피,제주 서귀포시 태평로 406-1,4.49/5,카페,https://naver.me/G6DyYe29
봄날, 제주 제주시 애월읍 애월로1길 25, 별점없음,카페, https://naver.me/xv0LLlr9
카페서연의집, 제주 서귀포시 남원읍 위미해안로 86 카페서연의집, 4.35,카페, https://naver.me/5pNEHo5P
몽상드애월, 제주 제주시 애월읍 애월북서길 56-1, 4.17, 카페, https://naver.me/GFpefL0o
카페공작소, 제주 제주시 구좌읍 해맞이해안로 1446 카페공작소, 4.57, 카페, https://naver.me/GY2ThLPO

리치망고, 

















