이름,위치,지역,별점,간단한설명,링크

천지연폭포, 제주 서귀포시 천지동 667-7, 서귀포시, 4.49 , 폭포, https://naver.me/GLKAc4Ms
큰엉해안경승지, 제주 서귀포시 남원읍 태위로 522-17 큰엉전망대, 남원읍, 경승지,별점없음, https://naver.me/5EQ3WDVh
다랑쉬오름, 제주 제주시 구좌읍 세화리,구좌읍, 별점없음, 경승지, https://naver.me/xL1JqCl3
용두암, 제주 제주시 용두암길 15,제주시, 4.25, 경승지, https://naver.me/G5rQIRlt
도치돌알파카목장, 제주 제주시 애월읍 도치돌길 303 도치돌알파카목장,애월읍, 4.46,목장체험,https://naver.me/G7KDo4yX
성산일출봉, 제주 서귀포시 성산읍 성산리 1,성산읍,4.44,봉우리,https://naver.me/GEAuu260
동문재래시장, 제주 제주시 관덕로14길 20,제주시,4.34,시장,https://naver.me/IgTNJ9Dq
섭지코지, 제주 서귀포시 성산읍 고성리, 성산읍,4.46, 경승지,https://naver.me/xL1EUa2M
협재해수욕장, 제주 제주시 한림읍 협재리 2497-1,한림읍, 4.34, 해변,https://naver.me/x6PUxFce
우도, 제주 제주시 우도면,우도, 4.53, 섬,https://naver.me/54VkoNDK
오설록 티 뮤지엄, 제주 서귀포시 안덕면 신화역사로 15 오설록, 안덕면,4.46, 박물관,https://naver.me/GbEcxO4s
새별오름, 제주 제주시 애월읍 봉성리 산59-8,애월읍, 4.37, 오름,https://naver.me/52lh9pLE
도두동무지개해안도로, 제주 제주시 도두일동  1734, 제주시,별점없음, 거리,https://naver.me/F36oe7Jh
만장굴, 제주 제주시 구좌읍 만장굴길 182, 구좌읍,4.34, 문화재,https://naver.me/5EQ3p29e
쇠소깍, 제주 서귀포시 쇠소깍로 104, 서귀포시,별점없음, 강,https://naver.me/GDc5QpIX
카멜리아힐, 제주 서귀포시 안덕면 병악로 166, 안덕면,4.33, 식물원,https://naver.me/FQaIdw7b
서귀포매일올레시장, 제주 서귀포시 서귀동 340, 서귀포시,4.35, 시장,https://naver.me/xFprr704
새별오름 나홀로나무, 제주 제주시 한림읍 금악리 산30-8,한림읍, 별점없음, 지역명소,https://naver.me/G0fJJE5o
한담해변, 제주 제주시 애월읍 애월리, 애월읍,4.0, 해변,https://naver.me/xYQT6fED
김녕해수욕장, 제주 제주시 구좌읍 김녕리,구좌읍, 4.78, 해변,https://naver.me/FlJxIMHT
사려니숲길, 제주 제주시 봉개동 산64-5,제주시, 별점없음, 숲,https://naver.me/GSiU8Z1r
광치기해변, 제주 서귀포시 성산읍 고성리 224-33,성산읍, 별점없음, 해변,https://naver.me/xjeLiZui
신창 풍차해안, 제주 제주시 한경면 신창리 1290-3, 한경면,별점없음, 해변,https://naver.me/GXERqu7U
함덕해수욕장, 제주 제주시 조천읍 조함해안로 525, 조천읍,4.35, 해변,https://naver.me/Fa3SVxwH
보롬왓, 제주 서귀포시 표선면 번영로 2350-104,표선면, 별점없음, 곡물재배,https://naver.me/GXERmB9u
정방폭포, 제주 서귀포시 칠십리로214번길 37,서귀포시, 4.53, 폭포,https://naver.me/xhHnH3v4
성이시돌목장, 제주 제주시 한림읍 산록남로 53,한림읍, 별점없음, 농공시설,https://naver.me/xQONXErl
금오름, 제주 제주시 한림읍 금악리 산1-1,한림읍, 별점없음, 오름,https://naver.me/xPIpYB4K
용눈이오름, 제주 제주시 구좌읍 종달리 산28,구좌읍, 4.33, 오름,https://naver.me/FpXMwU0D
세화해수욕장, 제주 제주시 구좌읍,구좌읍, 별점없음, 해변,https://naver.me/F1IM6hsJ
산굼부리, 제주 제주시 조천읍 비자림로 768,조천읍, 4.52, 산책로,https://naver.me/GLKAzoQh
아르떼뮤지엄 제주, 제주 제주시 애월읍 어림비로 478, 애월읍,별점없음, 미술관,https://naver.me/GZAjCOSR
곽지해수욕장, 제주 제주시 애월읍 곽지리,애월읍, 4.47, 해변,https://naver.me/FfMWZAZl
한림공원, 제주 제주시 한림읍 한림로 300,한림읍, 4.46, 식물원,https://naver.me/58HF0EFI
제주신화월드, 제주 서귀포시 안덕면 신화역사로304번길 38,안덕면, 4.36, 콘도,https://naver.me/FxLX5Nqv
이중섭거리, 제주 서귀포시 이중섭로 29 이중섭생가,서귀포시, 별점없음, 거리,https://naver.me/F4NtN30r
노형슈퍼마켙, 제주 제주시 노형로 89, 제주시,4.3, 미술관, https://naver.me/Gz1MnNMc
용머리해안, 제주 서귀포시 안덕면 사계리 112-3,안덕면, 4.59, 경승지, https://naver.me/GmFVV11C
헬로키티아일랜드, 제주 서귀포시 안덕면 한창로 340,안덕면, 4.29, 테마파크, https://naver.me/xhHnsEFH
절물자연휴양림, 제주 제주시 명림로 584,제주시, 4.49, 산림욕장, https://naver.me/57w8su5W
비자림, 제주 제주 제주시 구좌읍 비자숲길 55, 구좌읍,4.58, 휴양림 , https://naver.me/5zJofoaA
대포해안주상절리대, 제주 서귀포시 이어도로 36-24,서귀포시, 4.47, 기념물, https://naver.me/5Q4ukeRc
한담해안산책로, 제주 제주시 애월읍 곽지리 1359, 애월읍,별점없음, 도보코스, https://naver.me/GPrFXXsn
신창풍차해안도로, 제주 제주시 한경면 신창리 1481-23,한경면, 별점없음, 드라이브, https://naver.me/x9JcQzBq
검멀레, 제주 제주시 우도면 연평리, 우도,5, 관람, https://naver.me/FZJVUySV
백록담, 제주 서귀포시 토평동 산15-1, 서귀포시,별점없음, 호수 연못 저수지, https://naver.me/GaMbsbBh
서우봉, 제주 제주시 조천읍 함덕리 169-1, 조천읍,별점없음, 봉우리, https://naver.me/x35iT9kO
한라산국립공원관음사탐방로,제주 제주시 오라2동, 제주시,별점없음, 산책로, https://naver.me/F8KlGEC5
가시리 유채꽃길, 제주 서귀포시 표선면 녹산로 45,표선면, 4.76, 펜션, https://naver.me/xGOizPmG
민오름, 제주 제주시 오라2동 산12, 제주시,별점없음, 산책로, https://naver.me/FZJ9Mvuv
제주 전농로 벚꽃거리, 제주 제주시 삼도1동, 제주시,별점없음, 거리, https://naver.me/5rsMMuFU
제주월령리선인장군락, 제주 제주시 한림읍 월령리 359-4, 한림읍,별점없음, 산책로, https://naver.me/F6mxxM8s
서귀포 치유의숲, 제주 서귀포시 산록남로 2271,서귀포시, 4.59, 휴양림, https://naver.me/FHYuWrxj
혼인지, 제주 서귀포시 성산읍 혼인지로 39-22 혼인지, 성산읍,별점없음, 산책로, https://naver.me/FHYuWrxj
붉은오름자연 휴양림, 제주 서귀포시 표선면 남조로 1487-73, 표선면,4.46, 휴양림, https://naver.me/G6DyF2Yg
동백동산, 제주 제주시 조천읍 선흘리 산12,조천읍, 별점없음, 숲, https://naver.me/FcagQ0Lo
엉덩물계곡, 제주 서귀포시 색달동 3384-4, 서귀포시,별점없음, 산책로, https://naver.me/FOvhitwE
아쿠아플라넷 제주, 제주 서귀포시 성산읍 섭지코지로 95 아쿠아플라넷 제주, 성산읍,4.5, 아쿠아리움, https://naver.me/GDc5XdDe
에코랜드, 제주 제주시 조천읍 번영로 1278-169,조천읍, 4.46, 테마파크, https://naver.me/58HFhD0L
한림공원, 제주 제주시 한림읍 한림로 300,한림읍, 4.46, 식물원, https://naver.me/58HF0EFI
제주민속촌, 제주 서귀포시 표선면 민속해안로 631-34,표선면, 4.35, 체험, https://naver.me/FPseBr7G
스누피가든, 제주 제주시 구좌읍 금백조로 930,구좌읍, 4.76, 체험, https://naver.me/x0ahaGWB
산방산, 제주 서귀포시 안덕면,안덕면, 별점없음, 산,  https://naver.me/xM28z8mn
